MOVIE_NAME,DIRECTOR
Finding Dory,Andrew Stanton
Captain America:Civil War,Anthony Russo
Captain America:Civil War,Joe Russo
The Jungle Book (2016),Jon Favreau
Zootopia,Rich Moore
Batman v Superman:Dawn of Justice,Zack Snyder
The Secret Life of Pets,Chris Renaud
X-Men:Apocalypse,Bryan Singer
Kung Fu Panda 3,Jennifer Yuh Nelson
Central Intelligence,Rawson Marshall Thurber
The Legend of Tarzan,David Yates
The Conjuring 2,James Wan
Independence Day:Resurgence,Roland Emmerich
Ride Along 2,Tim Story
Teenage Mutant Ninja Turtles:Out of the Shadows,Dave Green
The Divergent Series:Allegiant,Robert Schwentke
Now You See Me 2,Jon Chu
My Big Fat Greek Wedding 2,Kirk Jones
Neighbors 2:Sorority Rising,Nick Stoller
Barbershop:The Next Cut,Malcolm D. Lee
13 Hours:The Secret Soldiers of Benghazi,Michael Bay
The Shallows,Jaume Collet-Serra
The BFG,Steven Spielberg
Warcraft,Duncan Jones
Ghostbusters (2016),Paul Feig
Money Monster,Jodie Foster
Risen,Kevin Reynolds
The Nice Guys,Shane Black
The Boy (2016),William Brent Bell
Mother's Day,Garry Marshall
Gods of Egypt,Alex Proyas
"Hail, Caesar!",Ethan Coen
"Hail, Caesar!",Joel Coen
Zoolander 2,Ben Stiller
The Finest Hours,Craig Gillespie
Whiskey Tango Foxtrot,Glenn Ficarra
Whiskey Tango Foxtrot,John Requa
Free State of Jones,Gary Ross
Race (2016),Stephen Hopkins
The Choice,Ross Katz
Love & Friendship,Whit Stillman
Triple 9,John Hillcoat
Fifty Shades of Black,Michael Tiddes
Pride and Prejudice and Zombies,Burr Steers
The Perfect Match,Bille Woodruff
Popstar:Never Stop Never Stopping,Akiva Schaffer
Popstar:Never Stop Never Stopping,Jorma Taccone
The Brothers Grimsby,Louis Leterrier
The Infiltrator,Brad Furman
The Meddler,Lorene Scafaria
A Hologram for the King,Tom Tykwer
Where to Invade Next,Michael Moore
Midnight Special,Jeff Nichols
Everybody Wants Some!!,Richard Linklater
Green Room,Jeremy Saulnier
Our Kind of Traitor,Susanna White
Miles Ahead,Don Cheadle
Demolition,Jean-Marc Vallee
I Saw the Light,Marc Abraham
Jane Got a Gun,Gavin O'Connor
Hunt for the Wilderpeople,Taika Waititi
The Neon Demon,Nicolas Winding Refn
Papa:Hemingway in Cuba,Bob Yari
Remember (US Release),Atom Egoyan
Wiener-Dog,Todd Solondz
Cafe Society,Woody Allen
The Family Fang,Jason Bateman
Dheepan,Jacques Audiard
De Palma,Noah Baumbach
Hillary's America:The Secret History of the Democratic Party,Dinesh D'Souza
Regression,Alejandro Amenabar
"Rio, I Love You",Guillermo Arriaga
"Rio, I Love You",Jose Padilha
"Rio, I Love You",Carlos Saldanha
Being Charlie,Rob Reiner
Time to Choose,Charles Ferguson
Lolo,Julie Delpy
River of Grass,Kelly Reichardt
Mojave,William Monahan
Star Wars:The Force Awakens,J.J. Abrams
Jurassic World,Colin Trevorrow
Avengers:Age of Ultron,Joss Whedon
Inside Out,Pete Docter
Furious 7,James Wan
Minions,Pierre Coffin
The Hunger Games:Mockingjay - Part 2,Francis Lawrence
The Martian,Ridley Scott
Cinderella (2015),Kenneth Branagh
Spectre,Sam Mendes
Mission:Impossible - Rogue Nation,Christopher McQuarrie
Pitch Perfect 2,Elizabeth Banks
Ant-Man,Peyton Reed
Home (2015),Tim Johnson
The SpongeBob Movie:Sponge Out of Water,Mike Mitchell
The SpongeBob Movie:Sponge Out of Water,Paul Tibbitt
Straight Outta Compton,F. Gary Gray
San Andreas,Brad Peyton
Mad Max:Fury Road,George Miller
Daddy's Home,Sean Anders
The Divergent Series:Insurgent,Robert Schwentke
Kingsman:The Secret Service,Matthew Vaughn
Spy,Paul Feig
Trainwreck,Judd Apatow
Creed,Ryan Coogler
Tomorrowland,Brad Bird
Get Hard,Etan Cohen
Terminator:Genisys,Alan Taylor
Taken 3,Olivier Megaton
Sisters,Jason Moore
Maze Runner:The Scorch Trials,Wes Ball
Ted 2,Seth MacFarlane
Goosebumps,Rob Letterman
Pixels,Chris Columbus
Paddington,Paul King
The Intern,Nancy Meyers
Bridge of Spies,Steven Spielberg
Paul Blart:Mall Cop 2,Andy Fickman
The Big Short,Adam McKay
War Room,Alex Kendrick
Magic Mike XXL,Gregory Jacobs
The Visit,M. Night Shyamalan
The Wedding Ringer,Jeremy Garelick
Black Mass,Scott Cooper
Vacation,Jonathan M. Goldstein
Joy,David O. Russell
Fantastic Four,Josh Trank
