MOVIE_NAME,PRODUCER
Finding Dory,Thomas Newman
Captain America:Civil War,Kevin Feige
Captain America:Civil War,Henry Jackman
Deadpool,Lauren Schuler Donner
Deadpool,Simon Kinberg
Deadpool,Ryan Reynolds
Deadpool,Junkie XL
The Jungle Book (2016),John Debney
Zootopia,Michael Giacchino
Batman v Superman:Dawn of Justice,David S. Goyer
Batman v Superman:Dawn of Justice,Charles Roven
Batman v Superman:Dawn of Justice,Deborah Snyder
Batman v Superman:Dawn of Justice,Junkie XL
Batman v Superman:Dawn of Justice,Hans Zimmer
X-Men:Apocalypse,Lauren Schuler Donner
X-Men:Apocalypse,Simon Kinberg
X-Men:Apocalypse,Hutch Parker
X-Men:Apocalypse,Bryan Singer
Kung Fu Panda 3,Hans Zimmer
The Legend of Tarzan,Rupert Gregson-Williams
The Conjuring 2,Joseph Bishara
Independence Day:Resurgence,Dean Devlin
Independence Day:Resurgence,Roland Emmerich
Independence Day:Resurgence,Harald Kloser
Ride Along 2,Ice Cube
Ride Along 2,Will Packer
Teenage Mutant Ninja Turtles:Out of the Shadows,Michael Bay
Teenage Mutant Ninja Turtles:Out of the Shadows,Andrew Form
Teenage Mutant Ninja Turtles:Out of the Shadows,Brad Fuller
Teenage Mutant Ninja Turtles:Out of the Shadows,Scott Mednick
Teenage Mutant Ninja Turtles:Out of the Shadows,Steve Jablonsky
Alice Through the Looking Glass,Tim Burton
Alice Through the Looking Glass,Joe Roth
Alice Through the Looking Glass,Danny Elfman
10 Cloverfield Lane,J.J. Abrams
The Divergent Series:Allegiant,Lucy Fisher
The Divergent Series:Allegiant,Douglas Wick
Now You See Me 2,Alex Kurtzman
Now You See Me 2,Roberto Orci
Now You See Me 2,Brian Tyler
The Boss,Will Ferrell
The Boss,Melissa McCarthy
The Boss,Adam McKay
London Has Fallen,Peter Schlessel
Miracles from Heaven,T.D. Jakes
Miracles from Heaven,Joe Roth
Neighbors 2:Sorority Rising,Evan Goldberg
Neighbors 2:Sorority Rising,Brendan O'Brien
Neighbors 2:Sorority Rising,Seth Rogen
Neighbors 2:Sorority Rising,James Weaver
The Huntsman:Winter's War,Joe Roth
The Huntsman:Winter's War,James Newton Howard
The BFG,Frank Marshall
The BFG,Steven Spielberg
The BFG,John Williams
Warcraft,Jon Jashni
Warcraft,Charles Roven
Warcraft,Thomas Tull
Ghostbusters (2016),Ivan Reitman
Money Monster,George Clooney
Money Monster,Grant Heslov
The 5th Wave,Henry Jackman
Gods of Egypt,Stephen Jones
Gods of Egypt,Alex Proyas
"Hail, Caesar!",Tim Bevan
"Hail, Caesar!",Ethan Coen
"Hail, Caesar!",Joel Coen
"Hail, Caesar!",Eric Fellner
"Hail, Caesar!",Carter Burwell
The Finest Hours,Carter Burwell
Whiskey Tango Foxtrot,Ian Bryce
Whiskey Tango Foxtrot,Tina Fey
Whiskey Tango Foxtrot,Lorne Michaels
Eddie the Eagle,Matthew Vaughn
Pride and Prejudice and Zombies,Natalie Portman
The Darkness,Jason Blum
Popstar:Never Stop Never Stopping,Judd Apatow
Popstar:Never Stop Never Stopping,Rodney Rothman
Popstar:Never Stop Never Stopping,Andy Samberg
Popstar:Never Stop Never Stopping,Akiva Schaffer
Popstar:Never Stop Never Stopping,Jorma Taccone
Hardcore Henry,Timur Bekmambetov
Everybody Wants Some!!,Megan Ellison
Everybody Wants Some!!,Richard Linklater
I Saw the Light,Brett Ratner
Jane Got a Gun,Natalie Portman
The Little Prince,Richard Harvey
The Little Prince,Hans Zimmer
The Family Fang,Carter Burwell
Clown,Eli Roth
Star Wars:The Force Awakens,J.J. Abrams
Star Wars:The Force Awakens,Bryan Burk
Star Wars:The Force Awakens,Kathleen Kennedy
Star Wars:The Force Awakens,John Williams
Jurassic World,Patrick Crowley
Jurassic World,Jon Jashni
Jurassic World,Frank Marshall
Jurassic World,Steven Spielberg
Jurassic World,Thomas Tull
Jurassic World,Michael Giacchino
Avengers:Age of Ultron,Victoria Alonso
Avengers:Age of Ultron,Louis D'Esposito
