MOVIE_NAME,ACTOR
Finding Dory,Ellen DeGeneres
Finding Dory,Albert Brooks
Finding Dory,Ty Burrell*
Finding Dory,Diane Keaton*
Finding Dory,Idris Elba*
Finding Dory,Andrew Stanton*
Finding Dory,Bob Peterson*
Captain America:Civil War,Chris Evans
Captain America:Civil War,"Robert Downey, Jr."
Captain America:Civil War,Scarlett Johansson
Captain America:Civil War,Anthony Mackie
Captain America:Civil War,Paul Bettany
Captain America:Civil War,Jeremy Renner
Captain America:Civil War,Don Cheadle
Captain America:Civil War,Paul Rudd
Captain America:Civil War,Chadwick Boseman
Captain America:Civil War,Frank Grillo
Captain America:Civil War,William Hurt
Captain America:Civil War,Martin Freeman
Captain America:Civil War,Tom Holland
Captain America:Civil War,Marisa Tomei
Deadpool,Ryan Reynolds
The Jungle Book (2016),Scarlett Johansson
The Jungle Book (2016),Idris Elba
The Jungle Book (2016),Lupita Nyong'o
The Jungle Book (2016),Ben Kingsley
The Jungle Book (2016),Christopher Walken
The Jungle Book (2016),Bill Murray
Zootopia,Ginnifer Goodwin
Zootopia,Jason Bateman
Zootopia,Idris Elba
Zootopia,Bonnie Hunt
Batman v Superman:Dawn of Justice,Henry Cavill
Batman v Superman:Dawn of Justice,Ben Affleck
Batman v Superman:Dawn of Justice,Gal Gadot
Batman v Superman:Dawn of Justice,Jesse Eisenberg
Batman v Superman:Dawn of Justice,Jeremy Irons
Batman v Superman:Dawn of Justice,Amy Adams
Batman v Superman:Dawn of Justice,Laurence Fishburne
Batman v Superman:Dawn of Justice,Diane Lane
Batman v Superman:Dawn of Justice,Holly Hunter
Batman v Superman:Dawn of Justice,Kevin Costner*
The Secret Life of Pets,Kevin Hart
X-Men:Apocalypse,James McAvoy
X-Men:Apocalypse,Michael Fassbender
X-Men:Apocalypse,Jennifer Lawrence
X-Men:Apocalypse,Nicholas Hoult
X-Men:Apocalypse,Rose Byrne
X-Men:Apocalypse,Tye Sheridan
X-Men:Apocalypse,Kodi Smit-McPhee
X-Men:Apocalypse,Hugh Jackman*
Kung Fu Panda 3,Jack Black
Kung Fu Panda 3,Jackie Chan
Kung Fu Panda 3,Bryan Cranston
Kung Fu Panda 3,Dustin Hoffman
Kung Fu Panda 3,Kate Hudson
Kung Fu Panda 3,Angelina Jolie
Kung Fu Panda 3,Lucy Liu
Kung Fu Panda 3,Seth Rogen
Central Intelligence,Dwayne Johnson
Central Intelligence,Kevin Hart
Central Intelligence,Amy Ryan
The Angry Birds Movie,Jason Sudeikis
The Angry Birds Movie,Josh Gad
The Angry Birds Movie,Danny McBride
The Angry Birds Movie,Sean Penn
The Conjuring 2,Vera Farmiga
The Conjuring 2,Patrick Wilson
Independence Day:Resurgence,Liam Hemsworth
Independence Day:Resurgence,Jeff Goldblum
Ride Along 2,Kevin Hart
Ride Along 2,Ice Cube
Ride Along 2,Benjamin Bratt
Ride Along 2,Tyrese Gibson
Teenage Mutant Ninja Turtles:Out of the Shadows,Megan Fox
Teenage Mutant Ninja Turtles:Out of the Shadows,Laura Linney
Teenage Mutant Ninja Turtles:Out of the Shadows,Tyler Perry
Alice Through the Looking Glass,Johnny Depp
Alice Through the Looking Glass,Anne Hathaway
Alice Through the Looking Glass,Mia Wasikowska
Alice Through the Looking Glass,Helena Bonham Carter
Alice Through the Looking Glass,Rhys Ifans
Alice Through the Looking Glass,Alan Rickman
Alice Through the Looking Glass,Sacha Baron Cohen
10 Cloverfield Lane,Mary Elizabeth Winstead
The Purge:Election Year,Frank Grillo
The Divergent Series:Allegiant,Ansel Elgort
The Divergent Series:Allegiant,Theo James
The Divergent Series:Allegiant,Ray Stevenson
The Divergent Series:Allegiant,Miles Teller
The Divergent Series:Allegiant,Naomi Watts
The Divergent Series:Allegiant,Shailene Woodley
Now You See Me 2,Mark Ruffalo
Now You See Me 2,Woody Harrelson
Now You See Me 2,Jesse Eisenberg
Now You See Me 2,Dave Franco
Now You See Me 2,Morgan Freeman
Now You See Me 2,Michael Caine
Now You See Me 2,Daniel Radcliffe
The Boss,Melissa McCarthy
The Boss,Kristen Bell
The Boss,Kathy Bates
London Has Fallen,Angela Bassett
London Has Fallen,Gerard Butler
London Has Fallen,Aaron Eckhart
London Has Fallen,Morgan Freeman
London Has Fallen,Jackie Earle Haley
London Has Fallen,Melissa Leo
London Has Fallen,Radha Mitchell
Miracles from Heaven,Eugenio Derbez
Miracles from Heaven,Jennifer Garner
Miracles from Heaven,Queen Latifah
My Big Fat Greek Wedding 2,John Corbett
My Big Fat Greek Wedding 2,Nia Vardalos
Neighbors 2:Sorority Rising,Zac Efron
Neighbors 2:Sorority Rising,Rose Byrne
Neighbors 2:Sorority Rising,Seth Rogen
Neighbors 2:Sorority Rising,Chloe Moretz
Barbershop:The Next Cut,Ice Cube
Barbershop:The Next Cut,Cedric the Entertainer
Barbershop:The Next Cut,Regina Hall
Barbershop:The Next Cut,Common
Barbershop:The Next Cut,Nicki Minaj
13 Hours:The Secret Soldiers of Benghazi,John Krasinski
The Shallows,Blake Lively
The Huntsman:Winter's War,Chris Hemsworth
The Huntsman:Winter's War,Charlize Theron
The Huntsman:Winter's War,Jessica Chastain
The Huntsman:Winter's War,Emily Blunt
The Huntsman:Winter's War,Nick Frost
The BFG,Mark Rylance
The BFG,Rebecca Hall
The BFG,Jemaine Clement
Warcraft,Ben Foster
Warcraft,Paula Patton
Warcraft,Dominic Cooper
How to Be Single,Leslie Mann
How to Be Single,Rebel Wilson
Ghostbusters (2016),Melissa McCarthy
Ghostbusters (2016),Kristen Wiig
Ghostbusters (2016),Michael K. Williams
Ghostbusters (2016),Chris Hemsworth
Money Monster,George Clooney
Money Monster,Jack O'Connell
Money Monster,Julia Roberts
The Nice Guys,Ryan Gosling
The Nice Guys,Russell Crowe
The Nice Guys,Kim Basinger
Dirty Grandpa,Robert DeNiro
Dirty Grandpa,Zac Efron
Dirty Grandpa,Aubrey Plaza
Dirty Grandpa,Julianne Hough
The 5th Wave,Chloe Moretz
The 5th Wave,Ron Livingston
The 5th Wave,Liev Schreiber
Mother's Day,Jennifer Aniston
Mother's Day,Kate Hudson
Mother's Day,Timothy Olyphant
Mother's Day,Julia Roberts
Mother's Day,Jason Sudeikis
Mike and Dave Need Wedding Dates,Adam DeVine
Mike and Dave Need Wedding Dates,Zac Efron
Mike and Dave Need Wedding Dates,Anna Kendrick
Mike and Dave Need Wedding Dates,Aubrey Plaza
Gods of Egypt,Gerard Butler
Gods of Egypt,Geoffrey Rush
"Hail, Caesar!",Josh Brolin
"Hail, Caesar!",George Clooney
"Hail, Caesar!",Ralph Fiennes
"Hail, Caesar!",Tilda Swinton
"Hail, Caesar!",Channing Tatum
"Hail, Caesar!",Scarlett Johansson
"Hail, Caesar!",Jonah Hill
Zoolander 2,Penelope Cruz
Zoolander 2,Will Ferrell
Zoolander 2,Ben Stiller
Zoolander 2,Kristen Wiig
Zoolander 2,Owen Wilson
The Finest Hours,Kyle Gallner
The Finest Hours,Chris Pine
The Finest Hours,Casey Affleck
Whiskey Tango Foxtrot,Tina Fey
Whiskey Tango Foxtrot,Margot Robbie
Whiskey Tango Foxtrot,Martin Freeman
Whiskey Tango Foxtrot,Alfred Molina
Whiskey Tango Foxtrot,Billy Bob Thornton
Keanu,Will Forte
Keanu,Nia Long
Free State of Jones,Matthew McConaughey
Race (2016),Jeremy Irons
Race (2016),Jason Sudeikis
Race (2016),William Hurt
The Choice,Teresa Palmer
The Choice,Tom Wilkinson
Eye in the Sky,Helen Mirren
Eye in the Sky,Alan Rickman
Norm of the North,Rob Schneider
Eddie the Eagle,Christopher Walken
Eddie the Eagle,Taron Egerton
Eddie the Eagle,Hugh Jackman
Criminal (2016),Kevin Costner
Criminal (2016),Ryan Reynolds
Criminal (2016),Gary Oldman
Criminal (2016),Tommy Lee Jones
Criminal (2016),Gal Gadot
Criminal (2016),Alice Eve
"Hello, My Name is Doris",Sally Field
Love & Friendship,Kate Beckinsale
Love & Friendship,Chloe Sevigny
Triple 9,Casey Affleck
Triple 9,Chiwetel Ejiofor
Triple 9,Gal Gadot
Triple 9,Woody Harrelson
Triple 9,Anthony Mackie
Triple 9,Teresa Palmer
Triple 9,Michael K. Williams
Triple 9,Kate Winslet
Fifty Shades of Black,Marlon Wayans
Pride and Prejudice and Zombies,Lena Headey
The Darkness,Kevin Bacon
The Darkness,Radha Mitchell
The Perfect Match,Paula Patton
Popstar:Never Stop Never Stopping,Andy Samberg
Popstar:Never Stop Never Stopping,Akiva Schaffer
Popstar:Never Stop Never Stopping,Jorma Taccone
Hardcore Henry,Sharlto Copley
Ratchet & Clank,Rosario Dawson
Ratchet & Clank,Paul Giamatti
Ratchet & Clank,Sylvester Stallone
Ratchet & Clank,Bella Thorne
The Lobster (US Release),Colin Farrell
The Lobster (US Release),John C. Reilly
The Lobster (US Release),Rachel Weisz
The Lobster (US Release),Ben Whishaw
The Brothers Grimsby,Sacha Baron Cohen
The Brothers Grimsby,Penelope Cruz
The Brothers Grimsby,Mark Strong
The Brothers Grimsby,Rebel Wilson
The Brothers Grimsby,Gabourey Sidibe
The Brothers Grimsby,Isla Fisher
The Infiltrator,Bryan Cranston
The Infiltrator,John Leguizamo
The Infiltrator,Amy Ryan
The Meddler,Rose Byrne
The Meddler,Susan Sarandon
A Hologram for the King,Tom Hanks
The Man Who Knew Infinity,Jeremy Irons
The Man Who Knew Infinity,Dev Patel
Swiss Army Man,Paul Dano
Swiss Army Man,Daniel Radcliffe
Swiss Army Man,Mary Elizabeth Winstead
A Beautiful Planet,Jennifer Lawrence*
Midnight Special,Kirsten Dunst
Green Room,Macon Blair
Green Room,Imogen Poots
Green Room,Patrick Stewart
Maggie's Plan,Greta Gerwig
Maggie's Plan,Ethan Hawke
Maggie's Plan,Julianne Moore
Our Kind of Traitor,Naomie Harris
Our Kind of Traitor,Ewan McGregor
Our Kind of Traitor,Stellan Skarsgard
Ip Man 3,Donnie Yen
Miles Ahead,Don Cheadle
Miles Ahead,Ewan McGregor
A Bigger Splash,Ralph Fiennes
A Bigger Splash,Matthias Schoenaerts
A Bigger Splash,Tilda Swinton
Demolition,Chris Cooper
Demolition,Jake Gyllenhaal
Demolition,Naomi Watts
I Saw the Light,Tom Hiddleston
Jane Got a Gun,Natalie Portman
Jane Got a Gun,Ewan McGregor
The Neon Demon,Jena Malone
The Neon Demon,Keanu Reeves
Genius,Colin Firth
Genius,Nicole Kidman
Genius,Jude Law
Genius,Laura Linney
Genius,Guy Pearce
Papa:Hemingway in Cuba,Minka Kelly
Papa:Hemingway in Cuba,Giovanni Ribisi
Elvis & Nixon,Johnny Knoxville
Elvis & Nixon,Tracy Letts
Elvis & Nixon,Alex Pettyfer
Elvis & Nixon,Kevin Spacey
Born to be Blue (US Release),Ethan Hawke
Remember (US Release),Dean Norris
Remember (US Release),Christopher Plummer
Knight of Cups,Christian Bale
Knight of Cups,Cate Blanchett
Knight of Cups,Teresa Palmer
Knight of Cups,Freida Pinto
Knight of Cups,Imogen Poots
Knight of Cups,Natalie Portman
Captain Fantastic,Viggo Mortensen
Wiener-Dog,Rory Culkin
Wiener-Dog,Julie Delpy
Wiener-Dog,Danny DeVito
Wiener-Dog,Greta Gerwig
Wiener-Dog,Tracy Letts
Cafe Society,Steve Carell
Cafe Society,Jesse Eisenberg
Cafe Society,Blake Lively
Cafe Society,Parker Posey
Cafe Society,Kristen Stewart
High-Rise,Tom Hiddleston
High-Rise,Jeremy Irons
High-Rise,Elisabeth Moss
High-Rise,James Purefoy
The Family Fang,Jason Bateman
The Family Fang,Nicole Kidman
The Family Fang,Christopher Walken
Louder than Bombs,Jesse Eisenberg
Louder than Bombs,Amy Ryan
De Palma,Brian De Palma
Born to be Blue,Ethan Hawke
Touched with Fire,Katie Holmes
Tumbledown,Dianna Agron
Tumbledown,Rebecca Hall
Tumbledown,Jason Sudeikis
Puerto Ricans in Paris,Rosario Dawson
Tale of Tales,Salma Hayek
Tale of Tales,John C. Reilly
Too Late,Crystal Reed
Sold,Gillian Anderson
Regression,Emma Watson
Regression,Emma Watson
Regression,Ethan Hawke
Pele:Birth of a Legend,Seu Jorge
Ma ma,Penelope Cruz
Mr. Right,Anna Kendrick
Mr. Right,Sam Rockwell
Being Charlie,Cary Elwes
Being Charlie,Common
Blackway,Anthony Hopkins
Blackway,Julia Stiles
Lolo,Julie Delpy
Be Here Now:The Andy Whitfield Story,Jai Courtney
Term Life,Vince Vaughn
Term Life,Hailee Steinfeld
Term Life,Taraji P. Henson
Term Life,Jon Favreau
Term Life,Terrence Howard
Term Life,Cecile de France
Colonia,Michael Nyqvist
Colonia,Emma Watson
Yosemite,James Franco
Adderall Diaries,Amber Heard
Adderall Diaries,James Franco
Adderall Diaries,Wilmer Valderrama
Adderall Diaries,Ed Harris
Kill Zone 2,Tony Jaa
Approaching the Unknown,Sanaa Lathan
Approaching the Unknown,Mark Strong
Approaching the Unknown,Luke Wilson
Equals,Nicholas Hoult
Equals,Guy Pearce
Equals,Bel Powley
Equals,Kristen Stewart
Mojave,Garrett Hedlund
Welcome to Happiness,Kyle Gallner
Welcome to Happiness,Olivia Thirlby
A Perfect Day,Benicio Del Toro
A Perfect Day,Olga Kurylenko
A Perfect Day,Tim Robbins
A Bit of Bad Luck,Cary Elwes
Burning Bodhi,Kaley Cuoco
Burning Bodhi,Cody Horn
Burning Bodhi,Virginia Madsen
In Harmony,Cecile de France
The Vigilante Diaries,Quinton 'Rampage' Jackson
Star Wars:The Force Awakens,Lupita Nyong'o
Star Wars:The Force Awakens,John Boyega
Star Wars:The Force Awakens,Daisy Ridley
Star Wars:The Force Awakens,Andy Serkis
Star Wars:The Force Awakens,Harrison Ford
Star Wars:The Force Awakens,Carrie Fisher
Star Wars:The Force Awakens,Mark Hamill
Star Wars:The Force Awakens,Anthony Daniels
Star Wars:The Force Awakens,Peter Mayhew
Jurassic World,Omar Sy
Jurassic World,Chris Pratt
Jurassic World,Bryce Dallas Howard
Jurassic World,Jake Johnson
Jurassic World,Irrfan Khan
