MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Finding Dory,135060273,221800000,0,Animation,2016-06-17 00:00:00
Captain America:Civil War,179139142,744400000,250000000,Action / Adventure,2016-05-06 00:00:00
Deadpool,132434639,418968273,58000000,Action,2016-02-12 00:00:00
The Jungle Book (2016),103261464,575900000,175000000,Adventure,2016-04-15 00:00:00
Zootopia,75063401,680600000,0,Animation,2016-03-04 00:00:00
Batman v Superman:Dawn of Justice,166007347,542302437,250000000,Action / Adventure,2016-03-25 00:00:00
X-Men:Apocalypse,65769562,378888139,178000000,Action / Adventure,2016-05-27 00:00:00
The Secret Life of Pets,104352905,42765555,75000000,Animation,2016-07-08 00:00:00
Kung Fu Panda 3,41282042,375479654,0,Animation,2016-01-29 00:00:00
Central Intelligence,35535250,47749340,50000000,Comedy,2016-06-17 00:00:00
The Angry Birds Movie,38155177,235453777,73000000,Animation,2016-05-20 00:00:00
The Conjuring 2,40406314,192400000,40000000,Horror,2016-06-10 00:00:00
Independence Day:Resurgence,41039944,215500729,165000000,Sci-Fi Adventure,2016-06-24 00:00:00
The Legend of Tarzan,38527856,56000000,180000000,Action / Adventure,2016-07-01 00:00:00
Ride Along 2,35243095,33383467,40000000,Action Comedy,2016-01-15 00:00:00
Teenage Mutant Ninja Turtles:Out of the Shadows,35316382,143471916,135000000,Action / Adventure,2016-06-03 00:00:00
Alice Through the Looking Glass,26858726,194700000,170000000,Family Adventure,2016-05-27 00:00:00
10 Cloverfield Lane,24727437,36203423,0,Thriller,2016-03-11 00:00:00
The Divergent Series:Allegiant,29027348,113056198,0,Action / Adventure,2016-03-18 00:00:00
The Purge:Election Year,31515110,2424848,10000000,Thriller,2016-07-01 00:00:00
The Boss,23586645,15558697,29000000,Comedy,2016-04-08 00:00:00
Now You See Me 2,22383146,178493585,0,Thriller,2016-06-10 00:00:00
London Has Fallen,21635601,133201324,60000000,Action,2016-03-04 00:00:00
Miracles from Heaven,14812393,11858303,13000000,Drama,2016-03-16 00:00:00
My Big Fat Greek Wedding 2,17861950,29233646,0,Comedy,2016-03-25 00:00:00
Neighbors 2:Sorority Rising,21760405,49103644,0,Comedy,2016-05-20 00:00:00
Me Before You,18723269,102800000,20000000,Romance,2016-06-03 00:00:00
Barbershop:The Next Cut,20242415,1000000,0,Comedy,2016-04-15 00:00:00
13 Hours:The Secret Soldiers of Benghazi,16194738,16558151,50000000,Drama,2016-01-15 00:00:00
The Shallows,16800868,2305756,17000000,Horror,2016-06-24 00:00:00
The Huntsman:Winter's War,19445035,116599148,115000000,Action / Adventure,2016-04-22 00:00:00
How to Be Single,17878911,65300000,38000000,Romantic Comedy,2016-02-12 00:00:00
Warcraft,24166110,383500000,160000000,Fantasy,2016-06-10 00:00:00
The BFG,18775350,11900000,140000000,Adventure,2016-07-01 00:00:00
Money Monster,14788157,48585547,27000000,Drama / Thriller,2016-05-13 00:00:00
Risen,11801271,9189535,20000000,Action / Adventure,2016-02-19 00:00:00
The Nice Guys,11203270,0,0,Comedy Thriller,2016-05-20 00:00:00
The Boy (2016),10778392,28368811,10000000,Horror,2016-01-22 00:00:00
Dirty Grandpa,11111875,58479915,0,Comedy,2016-01-22 00:00:00
The 5th Wave,10326356,74989585,38000000,Sci-Fi Action,2016-01-22 00:00:00
Mother's Day,8369184,0,25000000,Comedy,2016-04-29 00:00:00
Gods of Egypt,14123903,114094035,140000000,Action / Adventure,2016-02-26 00:00:00
"Hail, Caesar!",11355225,33149571,22000000,Comedy,2016-02-05 00:00:00
Zoolander 2,13841146,27120307,0,Comedy,2016-02-12 00:00:00
The Finest Hours,10288932,24529532,0,Thriller,2016-01-29 00:00:00
The Forest,12741176,11014038,10000000,Horror,2016-01-08 00:00:00
The Witch,8800230,15285240,0,Horror,2016-02-19 00:00:00
Mike and Dave Need Wedding Dates,16628170,4372278,33000000,Comedy,2016-07-08 00:00:00
Whiskey Tango Foxtrot,7450275,0,35000000,Comedy,2016-03-04 00:00:00
God's Not Dead 2,7623662,0,0,Drama,2016-04-01 00:00:00
Keanu,9453224,0,15000000,Comedy,2016-04-29 00:00:00
Free State of Jones,7572206,0,50000000,Action Drama,2016-06-24 00:00:00
Race (2016),7353922,0,0,Drama,2016-02-19 00:00:00
The Choice,6050443,0,0,Romance,2016-02-05 00:00:00
Eye in the Sky,4075359,0,0,Drama / Thriller,2016-03-11 00:00:00
Norm of the North,6844137,0,0,Animation,2016-01-15 00:00:00
Eddie the Eagle,6084682,30363411,23000000,Drama,2016-02-26 00:00:00
Criminal (2016),5767278,0,0,Action,2016-04-15 00:00:00
"Hello, My Name is Doris",2461808,0,0,Comedy,2016-03-11 00:00:00
Love & Friendship,2273176,0,0,Comedy,2016-05-13 00:00:00
Triple 9,6109085,0,0,Thriller,2016-02-26 00:00:00
Fifty Shades of Black,5900528,9477859,0,Comedy,2016-01-29 00:00:00
Pride and Prejudice and Zombies,5324240,5467037,28000000,Comedy,2016-02-05 00:00:00
The Darkness,4950859,0,0,Horror,2016-05-13 00:00:00
The Perfect Match,4294232,730792,0,Romantic Comedy,2016-03-11 00:00:00
Popstar:Never Stop Never Stopping,4698715,0,0,Comedy,2016-06-03 00:00:00
Hardcore Henry,5107604,5081752,0,Action Thriller,2016-04-08 00:00:00
Meet the Blacks,4055940,0,0,Comedy,2016-04-01 00:00:00
Ratchet & Clank,4869278,0,0,Animation,2016-04-29 00:00:00
The Lobster (US Release),190252,0,0,Comedy / Drama,2016-05-13 00:00:00
The Brothers Grimsby,3258327,18308092,0,Comedy,2016-03-11 00:00:00
The Young Messiah,3294876,0,0,Historical Drama,2016-03-11 00:00:00
Sultan,2371100,48017671,0,Drama,2016-07-06 00:00:00
The Meddler,57022,0,0,Comedy,2016-04-22 00:00:00
A Hologram for the King,1138578,0,0,Drama,2016-04-22 00:00:00
Where to Invade Next,897034,0,0,Documentary,2016-02-12 00:00:00
The Man Who Knew Infinity,80325,0,0,Drama,2016-04-29 00:00:00
Midnight Special,190012,2500000,0,Sci-Fi,2016-03-18 00:00:00
Swiss Army Man,1520204,0,0,Comedy,2016-06-24 00:00:00
Everybody Wants Some!!,312355,0,0,Comedy,2016-03-30 00:00:00
A Beautiful Planet,223983,223868,0,Documentary,2016-04-29 00:00:00
