MOVIE_NAME,WRITER
Finding Dory,Andrew Stanton
Captain America:Civil War,Christopher Markus
Captain America:Civil War,Stephen McFeely
Deadpool,Rhett Reese
Deadpool,Paul Wernick
The Jungle Book (2016),Justin Marks
Batman v Superman:Dawn of Justice,David S. Goyer
Batman v Superman:Dawn of Justice,Chris Terrio
The Secret Life of Pets,Ken Daurio
The Secret Life of Pets,Cinco Paul
X-Men:Apocalypse,Simon Kinberg
Kung Fu Panda 3,Jonathan Aibel
Kung Fu Panda 3,Glenn Berger
The Conjuring 2,Carey Hayes
The Conjuring 2,Chad Hayes
The Conjuring 2,James Wan
The Conjuring 2,David Leslie Johnson
Alice Through the Looking Glass,Linda Woolverton
The Boss,Melissa McCarthy
Neighbors 2:Sorority Rising,Evan Goldberg
Neighbors 2:Sorority Rising,Brendan O'Brien
Neighbors 2:Sorority Rising,Seth Rogen
Neighbors 2:Sorority Rising,Nick Stoller
The Huntsman:Winter's War,Evan Spiliotopoulos
The Huntsman:Winter's War,Craig Mazin
Warcraft,Duncan Jones
Warcraft,Charles Leavitt
Ghostbusters (2016),Katie Dippold
Ghostbusters (2016),Paul Feig
Gods of Egypt,Matt Sazama
Gods of Egypt,Burk Sharpless
"Hail, Caesar!",Ethan Coen
"Hail, Caesar!",Joel Coen
Zoolander 2,Ben Stiller
Zoolander 2,Nick Stoller
Free State of Jones,Gary Ross
Love & Friendship,Whit Stillman
Fifty Shades of Black,Rick Alvarez
Fifty Shades of Black,Marlon Wayans
Pride and Prejudice and Zombies,Burr Steers
The Meddler,Lorene Scafaria
A Hologram for the King,Tom Tykwer
Midnight Special,Jeff Nichols
Everybody Wants Some!!,Richard Linklater
Green Room,Jeremy Saulnier
Our Kind of Traitor,Hossein Amini
I Saw the Light,Marc Abraham
Jane Got a Gun,Brian Duffield
Cafe Society,Woody Allen
The Invitation,Phil Hay
The Invitation,Matt Manfredi
Hillary's America:The Secret History of the Democratic Party,Dinesh D'Souza
Regression,Alejandro Amenabar
Mr. Right,Max Landis
River of Grass,Kelly Reichardt
Star Wars:The Force Awakens,J.J. Abrams
